name,category,description,examples,url,source
汉堡盒,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
宝特瓶,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
抱枕,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
报刊,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
报纸,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
海报,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
鲍鱼,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
鲍鱼壳,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
爆竹,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
爆米花,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
铁杯,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
纸杯,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
旧背包,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
贝壳,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
扇贝,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
贝壳类,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
电脑设备,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
被单,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
被套,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
被芯,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
本子,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
绘本,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
课本,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
绷带,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
鼻毛,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
鼻屎,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
鼻涕纸,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
笔,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
笔袋,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
雪碧瓶,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
碧根果壳,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
冥币,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
游戏币,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
避孕套,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
避孕药,有害垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
用过的避孕套,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
鞭炮,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
牛鞭,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
纸张鞭炮,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
编织袋,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
便签,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
变质食品,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
变质的食物,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
标签,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
鼠标,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
标签卡,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
手表,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
钟表,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
电表盒,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
别针,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
曲别针,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
瘪掉的篮球,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
冰袋,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
冰柜,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
冰糖,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
葡萄柄,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
游戏手柄,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
丙烯,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
饼干,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
大饼,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
粉饼,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
病人换下来的纸尿裤,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
玻璃,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
玻璃杯,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
玻璃尺,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
菠菜,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
菠萝,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
菠萝干,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
数字音乐播放器,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
微波炉,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
铂金纸,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
铝箔,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
鋁箔,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
锡箔,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
鸭脖,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
鸭脖子,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
捕蚊灯,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
萝卜,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
胡萝卜,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
萝卜干,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
不锈钢,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
不粘锅,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
尿不湿,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
布,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
布袋,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
电话簿,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
板擦儿,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
擦屎纸,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
